"run","discount","nblock","type","row","names","par","true_par","convergence"
17,8,6,1,1,"shape",0.00100000348776548,0.333,0
17,8,6,1,1,"color",0.0826590440900558,0.333333333333333,0
17,8,6,1,1,"lambda",2.04684621898616,0.1,0
17,8,6,1,1,"r",1.00000001359117,1,0
17,8,6,1,1,"q",1.99999995855338,1,0
17,8,6,1,1,"b0",0.496021033289756,0.5,0
17,8,6,1,1,"b1",0.503978966710244,0.5,0
17,8,6,1,1,"tau",0.0721897754999062,0.1,0
18,8,6,1,1,"size",0.0155091742664756,0.333666666666667,0
18,8,6,1,1,"shape",0.87763639717139,0.333,0
18,8,6,1,1,"color",0.106854428562134,0.333333333333333,0
18,8,6,1,1,"lambda",9.99999733523321,0.1,0
18,8,6,1,1,"r",1.00000003840046,1,0
18,8,6,1,1,"q",1.99999989714507,1,0
18,8,6,1,1,"b0",0.472267146732346,0.5,0
18,8,6,1,1,"b1",0.527732853267653,0.5,0
18,8,6,1,1,"tau",0.319645487330464,0.1,0
19,8,6,1,1,"size",0.980942097667251,0.333666666666667,0
19,8,6,1,1,"shape",0.00100000061305762,0.333,0
19,8,6,1,1,"color",0.0180579017196917,0.333333333333333,0
19,8,6,1,1,"lambda",0.517018194330603,0.1,0
19,8,6,1,1,"r",1.99974794630892,1,0
19,8,6,1,1,"q",1.00001293235866,1,0
19,8,6,1,1,"b0",0.482211120412957,0.5,0
19,8,6,1,1,"b1",0.517788879587046,0.5,0
19,8,6,1,1,"tau",0.0788091741925074,0.1,0
20,8,6,1,1,"size",0.00100000077678436,0.333666666666667,0
20,8,6,1,1,"shape",0.873584497338859,0.333,0
20,8,6,1,1,"color",0.125415501884357,0.333333333333333,0
20,8,6,1,1,"lambda",0.562713036655726,0.1,0
20,8,6,1,1,"r",1.00000024728003,1,0
20,8,6,1,1,"q",1.99999949392899,1,0
20,8,6,1,1,"b0",0.490788860621614,0.5,0
20,8,6,1,1,"b1",0.509211139378386,0.5,0
20,8,6,1,1,"tau",0.0192200846587957,0.1,0
21,8,6,1,1,"size",0.00100000001830958,0.333666666666667,0
21,8,6,1,1,"shape",0.992915775581467,0.333,0
21,8,6,1,1,"color",0.0060842244002237,0.333333333333333,0
21,8,6,1,1,"lambda",4.81545594010601,0.1,0
21,8,6,1,1,"r",1.63556899549713,1,0
21,8,6,1,1,"q",1.01412894970507,1,0
21,8,6,1,1,"b0",0.481026305901815,0.5,0
21,8,6,1,1,"b1",0.518973694098185,0.5,0
21,8,6,1,1,"tau",0.37355662131049,0.1,0
22,8,6,1,1,"size",0.520504790573338,0.333666666666667,0
22,8,6,1,1,"shape",0.478495209407416,0.333,0
22,8,6,1,1,"color",0.00100000001924642,0.333333333333333,0
22,8,6,1,1,"lambda",8.26546364382242,0.1,0
22,8,6,1,1,"r",1.99592504708143,1,0
22,8,6,1,1,"q",1.30432892664127,1,0
22,8,6,1,1,"b0",0.457461970849518,0.5,0
22,8,6,1,1,"b1",0.542538029150482,0.5,0
22,8,6,1,1,"tau",0.133304921826745,0.1,0
23,8,6,1,1,"size",0.476016366730042,0.333666666666667,0
23,8,6,1,1,"shape",0.522976120421944,0.333,0
23,8,6,1,1,"color",0.00100751284801352,0.333333333333333,0
23,8,6,1,1,"lambda",0.00100794114663995,0.1,0
23,8,6,1,1,"r",1.44919059245028,1,0
23,8,6,1,1,"q",1.54950376058226,1,0
23,8,6,1,1,"b0",0.495829962885789,0.5,0
23,8,6,1,1,"b1",0.504170037114212,0.5,0
23,8,6,1,1,"tau",0.0443107931847159,0.1,0
24,8,6,1,1,"size",0.00100000860485546,0.333666666666667,0
24,8,6,1,1,"shape",0.898348538920243,0.333,0
24,8,6,1,1,"color",0.100651452474902,0.333333333333333,0
24,8,6,1,1,"lambda",0.989200179802426,0.1,0
24,8,6,1,1,"r",1.00000002950747,1,0
24,8,6,1,1,"q",1.99999999563653,1,0
24,8,6,1,1,"b0",0.487726241264685,0.5,0
24,8,6,1,1,"b1",0.512273758735315,0.5,0
24,8,6,1,1,"tau",0.124034970895353,0.1,0
25,8,6,1,1,"size",0.869289256008691,0.333666666666667,0
25,8,6,1,1,"shape",0.00100000883252549,0.333,0
25,8,6,1,1,"color",0.129710735158783,0.333333333333333,0
25,8,6,1,1,"lambda",1.81018648679934,0.1,0
25,8,6,1,1,"r",1.00000003425389,1,0
25,8,6,1,1,"q",1.99999999981167,1,0
25,8,6,1,1,"b0",0.472319830289752,0.5,0
25,8,6,1,1,"b1",0.527680169710248,0.5,0
25,8,6,1,1,"tau",0.121230357005332,0.1,0
26,8,6,1,1,"size",0.00100000000000453,0.333666666666667,0
26,8,6,1,1,"shape",0.928208287560971,0.333,0
26,8,6,1,1,"color",0.0707917124390247,0.333333333333333,0
26,8,6,1,1,"lambda",9.99959245983912,0.1,0
26,8,6,1,1,"r",1.21116067687913,1,0
26,8,6,1,1,"q",1.99998109684369,1,0
26,8,6,1,1,"b0",0.489228969436736,0.5,0
26,8,6,1,1,"b1",0.510771030563264,0.5,0
26,8,6,1,1,"tau",0.0432380873850039,0.1,0
27,8,6,1,1,"size",0.942859260501723,0.333666666666667,0
27,8,6,1,1,"shape",0.00100000075035992,0.333,0
27,8,6,1,1,"color",0.0561407387479176,0.333333333333333,0
27,8,6,1,1,"lambda",9.99993691646884,0.1,0
27,8,6,1,1,"r",1.00000141266786,1,0
27,8,6,1,1,"q",1.99999694683521,1,0
27,8,6,1,1,"b0",0.472272462994963,0.5,0
27,8,6,1,1,"b1",0.527727537005037,0.5,0
27,8,6,1,1,"tau",0.0705417964097672,0.1,0
28,8,6,1,1,"size",0.428045473743854,0.333666666666667,0
28,8,6,1,1,"shape",0.517074356144114,0.333,0
28,8,6,1,1,"color",0.0548801701120323,0.333333333333333,0
28,8,6,1,1,"lambda",9.99999996178581,0.1,0
28,8,6,1,1,"r",1.01299546439441,1,0
28,8,6,1,1,"q",1.95947706864403,1,0
28,8,6,1,1,"b0",0.468298027246485,0.5,0
28,8,6,1,1,"b1",0.531701972753515,0.5,0
28,8,6,1,1,"tau",0.089255864113524,0.1,0
29,8,6,1,1,"size",0.497948504842518,0.333666666666667,0
29,8,6,1,1,"shape",0.501050405184419,0.333,0
29,8,6,1,1,"color",0.00100108997293292,0.333333333333333,0
29,8,6,1,1,"lambda",0.00100031452703772,0.1,0
29,8,6,1,1,"r",1.45277881176031,1,0
29,8,6,1,1,"q",1.54617825935911,1,0
29,8,6,1,1,"b0",0.520813343783592,0.5,0
29,8,6,1,1,"b1",0.479186656216408,0.5,0
29,8,6,1,1,"tau",0.110778545664787,0.1,0
30,8,6,1,1,"size",0.186956236043714,0.333666666666667,0
30,8,6,1,1,"shape",0.773353659109233,0.333,0
30,8,6,1,1,"color",0.0396901048470524,0.333333333333333,0
30,8,6,1,1,"lambda",1.05265076460351,0.1,0
30,8,6,1,1,"r",1.99999987364704,1,0
30,8,6,1,1,"q",1.00000005572229,1,0
30,8,6,1,1,"b0",0.532524572431747,0.5,0
30,8,6,1,1,"b1",0.467475427568253,0.5,0
30,8,6,1,1,"tau",0.206746583518022,0.1,0
31,8,6,1,1,"size",0.505847382605221,0.333666666666667,0
31,8,6,1,1,"shape",0.493150116038104,0.333,0
31,8,6,1,1,"color",0.00100250135704359,0.333333333333333,0
31,8,6,1,1,"lambda",0.0010002704220931,0.1,0
31,8,6,1,1,"r",1.50763423614585,1,0
31,8,6,1,1,"q",1.49231513083161,1,0
31,8,6,1,1,"b0",0.484872607710024,0.5,0
31,8,6,1,1,"b1",0.515127392289976,0.5,0
31,8,6,1,1,"tau",0.092931950799666,0.1,0
32,8,6,1,1,"size",0.00971213463361029,0.333666666666667,0
32,8,6,1,1,"shape",0.989287865366352,0.333,0
32,8,6,1,1,"color",0.00100000000002308,0.333333333333333,0
32,8,6,1,1,"lambda",7.62921949381521,0.1,0
32,8,6,1,1,"r",1.9999457804569,1,0
32,8,6,1,1,"q",1.26920414963246,1,0
32,8,6,1,1,"b0",0.464027395998774,0.5,0
