"run","discount","nblock","type","row","names","par","true_par","convergence"
7,0,6,6,1,"color",0.0112298593560405,0.333333333333333,0
7,0,6,6,1,"lambda",9.99999195321696,1,0
7,0,6,6,1,"r",1.99999440939245,1,0
7,0,6,6,1,"q",1.59900164333428,1,0
7,0,6,6,1,"b0",0.509832196741041,0.5,0
7,0,6,6,1,"b1",0.490167803258959,0.5,0
7,0,6,6,1,"tau",0.0728882216928127,0.1,0
8,0,6,6,1,"size",0.276325650756431,0.333666666666667,0
8,0,6,6,1,"shape",0.722674349235674,0.333,0
8,0,6,6,1,"color",0.00100000000789502,0.333333333333333,0
8,0,6,6,1,"lambda",8.86149088255886,1,0
8,0,6,6,1,"r",1.92580862850696,1,0
8,0,6,6,1,"q",1.07482152537404,1,0
8,0,6,6,1,"b0",0.562575690818328,0.5,0
8,0,6,6,1,"b1",0.437424309181672,0.5,0
8,0,6,6,1,"tau",0.371716325999039,0.1,0
9,0,6,6,1,"size",0.609287396959464,0.333666666666667,0
9,0,6,6,1,"shape",0.166014259652991,0.333,0
9,0,6,6,1,"color",0.224698343387535,0.333333333333333,0
9,0,6,6,1,"lambda",9.99999692652358,1,0
9,0,6,6,1,"r",1.14607709095286,1,0
9,0,6,6,1,"q",1.99997965857723,1,0
9,0,6,6,1,"b0",0.500136567944426,0.5,0
9,0,6,6,1,"b1",0.499863432055575,0.5,0
9,0,6,6,1,"tau",0.0753276203118775,0.1,0
10,0,6,6,1,"size",0.00124186365847056,0.333666666666667,0
10,0,6,6,1,"shape",0.00100000829268877,0.333,0
10,0,6,6,1,"color",0.997758128048841,0.333333333333333,0
10,0,6,6,1,"lambda",7.03234210906473,1,0
10,0,6,6,1,"r",1.95614584020472,1,0
10,0,6,6,1,"q",1.05053450877542,1,0
10,0,6,6,1,"b0",0.462173067882106,0.5,0
10,0,6,6,1,"b1",0.537826932117893,0.5,0
10,0,6,6,1,"tau",0.250470766144433,0.1,0
11,0,6,6,1,"size",0.430964647420675,0.333666666666667,0
11,0,6,6,1,"shape",0.568035350155478,0.333,0
11,0,6,6,1,"color",0.0010000024238464,0.333333333333333,0
11,0,6,6,1,"lambda",9.99946838279332,1,0
11,0,6,6,1,"r",1.99944914223193,1,0
11,0,6,6,1,"q",1.40157225608961,1,0
11,0,6,6,1,"b0",0.516016933877184,0.5,0
11,0,6,6,1,"b1",0.483983066122816,0.5,0
11,0,6,6,1,"tau",0.226885323204849,0.1,0
12,0,6,6,1,"size",0.398795639339701,0.333666666666667,0
12,0,6,6,1,"shape",0.272469558281491,0.333,0
12,0,6,6,1,"color",0.328734802378808,0.333333333333333,0
12,0,6,6,1,"lambda",6.72233484531476,1,0
12,0,6,6,1,"r",1.24684903880453,1,0
12,0,6,6,1,"q",1.999999955528,1,0
12,0,6,6,1,"b0",0.490432148458697,0.5,0
12,0,6,6,1,"b1",0.509567851541303,0.5,0
12,0,6,6,1,"tau",0.048781641511692,0.1,0
13,0,6,6,1,"size",0.111565649903725,0.333666666666667,0
13,0,6,6,1,"shape",0.310336735770703,0.333,0
13,0,6,6,1,"color",0.578097614325572,0.333333333333333,0
13,0,6,6,1,"lambda",1.48001387149409,1,0
13,0,6,6,1,"r",1.00000007000274,1,0
13,0,6,6,1,"q",1.99999984506157,1,0
13,0,6,6,1,"b0",0.491809067149567,0.5,0
13,0,6,6,1,"b1",0.508190932850433,0.5,0
13,0,6,6,1,"tau",0.05481819276666,0.1,0
14,0,6,6,1,"size",0.961696591384156,0.333666666666667,0
14,0,6,6,1,"shape",0.00631518703917477,0.333,0
14,0,6,6,1,"color",0.0319882215766723,0.333333333333333,0
14,0,6,6,1,"lambda",9.9999952523404,1,0
14,0,6,6,1,"r",1.92485728257587,1,0
14,0,6,6,1,"q",1.60941030743183,1,0
14,0,6,6,1,"b0",0.53391429402681,0.5,0
14,0,6,6,1,"b1",0.46608570597319,0.5,0
14,0,6,6,1,"tau",0.197614411637207,0.1,0
15,0,6,6,1,"size",0.720619667810502,0.333666666666667,0
15,0,6,6,1,"shape",0.07688595257695,0.333,0
15,0,6,6,1,"color",0.202494379612559,0.333333333333333,0
15,0,6,6,1,"lambda",9.99997354083816,1,0
15,0,6,6,1,"r",1.21119538292434,1,0
15,0,6,6,1,"q",1.60353600666374,1,0
15,0,6,6,1,"b0",0.504134867473508,0.5,0
15,0,6,6,1,"b1",0.495865132526492,0.5,0
