"run","discount","nblock","type","row","names","par","true_par","convergence"
11,8,6,1,1,"size",0.0500035059005295,0.333666666666667,0
11,8,6,1,1,"shape",0.670256742259241,0.333,0
11,8,6,1,1,"color",0.279739751840229,0.333333333333333,0
11,8,6,1,1,"lambda",9.99999998445885,1,0
11,8,6,1,1,"r",1.09540996383925,1,0
11,8,6,1,1,"q",1.99995615246625,1,0
11,8,6,1,1,"b0",0.430120799099338,0.5,0
11,8,6,1,1,"b1",0.569879200900662,0.5,0
11,8,6,1,1,"tau",0.220152584222415,0.1,0
12,8,6,1,1,"size",0.292822168610475,0.333666666666667,0
12,8,6,1,1,"shape",0.494052223172997,0.333,0
12,8,6,1,1,"color",0.213125608216527,0.333333333333333,0
12,8,6,1,1,"lambda",3.11942042164857,1,0
12,8,6,1,1,"r",1.00000001581678,1,0
12,8,6,1,1,"q",1.99999998918428,1,0
12,8,6,1,1,"b0",0.492830266344756,0.5,0
12,8,6,1,1,"b1",0.507169733655244,0.5,0
12,8,6,1,1,"tau",0.133534060327627,0.1,0
13,8,6,1,1,"size",0.760990937504677,0.333666666666667,0
13,8,6,1,1,"shape",0.0953917842075678,0.333,0
13,8,6,1,1,"color",0.143617278287756,0.333333333333333,0
13,8,6,1,1,"lambda",2.34693461124278,1,0
13,8,6,1,1,"r",1.99999999209876,1,0
13,8,6,1,1,"q",1.00000001648028,1,0
13,8,6,1,1,"b0",0.48554952719179,0.5,0
13,8,6,1,1,"b1",0.51445047280821,0.5,0
13,8,6,1,1,"tau",0.147502182877795,0.1,0
14,8,6,1,1,"size",0.560454713219325,0.333666666666667,0
14,8,6,1,1,"shape",0.00100000509200961,0.333,0
14,8,6,1,1,"color",0.438545281688666,0.333333333333333,0
14,8,6,1,1,"lambda",1.09839119023728,1,0
14,8,6,1,1,"r",1.00000001568752,1,0
14,8,6,1,1,"q",1.99999999032236,1,0
14,8,6,1,1,"b0",0.483692627203572,0.5,0
14,8,6,1,1,"b1",0.516307372796428,0.5,0
14,8,6,1,1,"tau",0.159756860130048,0.1,0
15,8,6,1,1,"size",0.521797923417627,0.333666666666667,0
15,8,6,1,1,"shape",0.270381136915775,0.333,0
15,8,6,1,1,"color",0.207820939666598,0.333333333333333,0
15,8,6,1,1,"lambda",2.72578947316333,1,0
15,8,6,1,1,"r",1.00000001031704,1,0
15,8,6,1,1,"q",1.99999999122077,1,0
15,8,6,1,1,"b0",0.459193777896135,0.5,0
15,8,6,1,1,"b1",0.540806222103865,0.5,0
15,8,6,1,1,"tau",0.089239351363424,0.1,0
16,8,6,1,1,"size",0.629658425679783,0.333666666666667,0
16,8,6,1,1,"shape",0.0476666064003332,0.333,0
16,8,6,1,1,"color",0.322674967919884,0.333333333333333,0
16,8,6,1,1,"lambda",2.4297866653274,1,0
16,8,6,1,1,"r",1.00000001488536,1,0
16,8,6,1,1,"q",1.99999999088644,1,0
16,8,6,1,1,"b0",0.503630581729282,0.5,0
16,8,6,1,1,"b1",0.496369418270718,0.5,0
16,8,6,1,1,"tau",0.13093657216462,0.1,0
17,8,6,1,1,"size",0.515473960821269,0.333666666666667,0
17,8,6,1,1,"shape",0.430838653208616,0.333,0
17,8,6,1,1,"color",0.053687385970115,0.333333333333333,0
17,8,6,1,1,"lambda",3.42199197033641,1,0
17,8,6,1,1,"r",1.99999995334628,1,0
17,8,6,1,1,"q",1.00000004130388,1,0
17,8,6,1,1,"b0",0.531916202909506,0.5,0
17,8,6,1,1,"b1",0.468083797090494,0.5,0
17,8,6,1,1,"tau",0.124637896123696,0.1,0
18,8,6,1,1,"size",0.41152627546158,0.333666666666667,0
18,8,6,1,1,"shape",0.452663772594438,0.333,0
18,8,6,1,1,"color",0.135809951943982,0.333333333333333,0
18,8,6,1,1,"lambda",9.9999999387651,1,0
18,8,6,1,1,"r",1.26014648351461,1,0
18,8,6,1,1,"q",1.99997188768186,1,0
18,8,6,1,1,"b0",0.482492283982917,0.5,0
18,8,6,1,1,"b1",0.517507716017084,0.5,0
18,8,6,1,1,"tau",0.100744927106819,0.1,0
19,8,6,1,1,"size",0.001,0.333666666666667,0
19,8,6,1,1,"shape",0.989511434877052,0.333,0
19,8,6,1,1,"color",0.00948856512294761,0.333333333333333,0
19,8,6,1,1,"lambda",4.28737752543738,1,0
19,8,6,1,1,"r",1.99999672283704,1,0
19,8,6,1,1,"q",1.00000141897707,1,0
19,8,6,1,1,"b0",0.507138748723956,0.5,0
19,8,6,1,1,"b1",0.492861251276044,0.5,0
19,8,6,1,1,"tau",0.203066137646449,0.1,0
20,8,6,1,1,"size",0.332789124007304,0.333666666666667,0
20,8,6,1,1,"shape",0.445876743535514,0.333,0
20,8,6,1,1,"color",0.221334132457182,0.333333333333333,0
20,8,6,1,1,"lambda",4.30701372814625,1,0
20,8,6,1,1,"r",1.00000002688321,1,0
20,8,6,1,1,"q",1.99999999104826,1,0
20,8,6,1,1,"b0",0.492404656886839,0.5,0
20,8,6,1,1,"b1",0.507595343113161,0.5,0
20,8,6,1,1,"tau",0.145465760470688,0.1,0
21,8,6,1,1,"size",0.469962087417766,0.333666666666667,0
21,8,6,1,1,"shape",0.473833572494702,0.333,0
21,8,6,1,1,"color",0.0562043400875325,0.333333333333333,0
21,8,6,1,1,"lambda",9.99997757771205,1,0
21,8,6,1,1,"r",1.99999872121545,1,0
21,8,6,1,1,"q",1.41148889043665,1,0
21,8,6,1,1,"b0",0.486983686856261,0.5,0
