"","run","discount","nblock","type","row","names","par","true_par","convergence"
"131",19,0,30,1,1,"b0",0.939708064631113,0.5,0
"132",19,0,30,1,1,"b1",0.0602919353688868,0.5,0
"133",19,0,30,1,1,"tau",0.128120796124037,0.1,0
"134",20,0,30,1,1,"size",0.150510943259879,0.01,0
"135",20,0,30,1,1,"shape",0.102218687165325,0.01,0
"136",20,0,30,1,1,"color",0.747270369574886,0.98,0
"137",20,0,30,1,1,"lambda",7.74330219901903,1,0
"138",20,0,30,1,1,"b0",0.987905073998713,0.5,0
"139",20,0,30,1,1,"b1",0.0120949260012874,0.5,0
"140",20,0,30,1,1,"tau",0.128992822392857,0.1,0
"141",21,0,30,1,1,"size",0.00100002723999846,0.01,0
"142",21,0,30,1,1,"shape",0.001,0.01,0
"143",21,0,30,1,1,"color",0.997999972760002,0.98,0
"144",21,0,30,1,1,"lambda",4.43325157060148,1,0
"145",21,0,30,1,1,"b0",0.950768509138065,0.5,0
"146",21,0,30,1,1,"b1",0.0492314908619345,0.5,0
"147",21,0,30,1,1,"tau",0.125967220503415,0.1,0
"148",22,0,30,1,1,"size",0.217437315028137,0.01,0
"149",22,0,30,1,1,"shape",0.00100023421974751,0.01,0
"150",22,0,30,1,1,"color",0.781562450752116,0.98,0
"151",22,0,30,1,1,"lambda",1.47115813121946,1,0
"152",22,0,30,1,1,"b0",0.517589930245256,0.5,0
"153",22,0,30,1,1,"b1",0.482410069754744,0.5,0
"154",22,0,30,1,1,"tau",0.114070606785933,0.1,0
"155",23,0,30,1,1,"size",0.00100003222507658,0.01,0
"156",23,0,30,1,1,"shape",0.00100000000000001,0.01,0
"157",23,0,30,1,1,"color",0.997999967774923,0.98,0
"158",23,0,30,1,1,"lambda",4.79627467656406,1,0
"159",23,0,30,1,1,"b0",0.898554058439331,0.5,0
"160",23,0,30,1,1,"b1",0.101445941560669,0.5,0
"161",23,0,30,1,1,"tau",0.20985116151528,0.1,0
"162",24,0,30,1,1,"size",0.00100000594657996,0.01,0
"163",24,0,30,1,1,"shape",0.00100000432420911,0.01,0
"164",24,0,30,1,1,"color",0.997999989729211,0.98,0
"165",24,0,30,1,1,"lambda",9.3195273055625,1,0
"166",24,0,30,1,1,"b0",0.0631538609639834,0.5,0
"167",24,0,30,1,1,"b1",0.936846139042698,0.5,0
"168",24,0,30,1,1,"tau",0.209146991280551,0.1,0
"169",25,0,30,1,1,"size",0.00100001352646198,0.01,0
"170",25,0,30,1,1,"shape",0.00100000038810558,0.01,0
"171",25,0,30,1,1,"color",0.997999986085433,0.98,0
"172",25,0,30,1,1,"lambda",9.7933366301404,1,0
"173",25,0,30,1,1,"b0",0.275245259330799,0.5,0
"174",25,0,30,1,1,"b1",0.724754740669201,0.5,0
"175",25,0,30,1,1,"tau",0.209393396807105,0.1,0
"176",26,0,30,1,1,"size",0.00100001006432492,0.01,0
"177",26,0,30,1,1,"shape",0.00100000047109319,0.01,0
