"","run","discount","nblock","type","row","names","par","true_par","convergence"
"125",4,3,30,1,3,"size",0.240097635093642,0.5,0
"126",4,3,30,1,3,"shape",0.00100000018314031,0.3,0
"127",5,3,30,1,3,"size",0.001,0.333666666666667,0
"128",5,3,30,1,3,"shape",0.81351860236578,0.333,0
"129",5,3,30,1,3,"color",0.185481397634234,0.333333333333333,0
"130",5,3,30,1,3,"lambda",3.46793260578984,1,0
"131",5,3,30,1,3,"b0",0.500266856921798,1,0
"132",5,3,30,1,3,"b1",0.499733143078202,1,0
"133",5,3,30,1,3,"tau",0.355670823996404,0.5,0
"134",5,3,30,1,3,"size",0.001,0.5,0
"135",5,3,30,1,3,"shape",0.81351860236578,0.3,0
"136",1,3,30,1,4,"size",0.001,0.333666666666667,0
"137",1,3,30,1,4,"shape",0.589488582417854,0.333,0
"138",1,3,30,1,4,"color",0.409511417582162,0.333333333333333,0
"139",1,3,30,1,4,"lambda",9.23859784918712,5,0
"140",1,3,30,1,4,"b0",0.898300935091922,1,0
"141",1,3,30,1,4,"b1",0.101699064908078,1,0
"142",1,3,30,1,4,"tau",0.319191208159604,0.5,0
"143",1,3,30,1,4,"size",0.001,0.5,0
"144",1,3,30,1,4,"shape",0.589488582417854,0.3,0
"145",2,3,30,1,4,"size",0.00100000000000003,0.333666666666667,0
"146",2,3,30,1,4,"shape",0.622110736355277,0.333,0
"147",2,3,30,1,4,"color",0.376889263644736,0.333333333333333,0
"148",2,3,30,1,4,"lambda",9.76366445586374,5,0
"149",2,3,30,1,4,"b0",0.867101135535674,1,0
"150",2,3,30,1,4,"b1",0.132898864464326,1,0
"151",2,3,30,1,4,"tau",0.359635862974568,0.5,0
"152",2,3,30,1,4,"size",0.00100000000000003,0.5,0
"153",2,3,30,1,4,"shape",0.622110736355277,0.3,0
"154",3,3,30,1,4,"size",0.323170198887924,0.333666666666667,0
"155",3,3,30,1,4,"shape",0.00100008739963323,0.333,0
"156",3,3,30,1,4,"color",0.675829713712443,0.333333333333333,0
"157",3,3,30,1,4,"lambda",2.16530959780074,5,0
"158",3,3,30,1,4,"b0",0.512901291616254,1,0
"159",3,3,30,1,4,"b1",0.487098708383758,1,0
"160",3,3,30,1,4,"tau",0.280007939233784,0.5,0
"161",3,3,30,1,4,"size",0.323170198887924,0.5,0
"162",3,3,30,1,4,"shape",0.00100008739963323,0.3,0
"163",4,3,30,1,4,"size",0.227221090297652,0.333666666666667,0
"164",4,3,30,1,4,"shape",0.551789811436796,0.333,0
"165",4,3,30,1,4,"color",0.220989098265553,0.333333333333333,0
"166",4,3,30,1,4,"lambda",9.99999934195464,5,0
"167",4,3,30,1,4,"b0",0.441205735043704,1,0
"168",4,3,30,1,4,"b1",0.558794264956296,1,0
"169",4,3,30,1,4,"tau",0.331434021747396,0.5,0
"170",4,3,30,1,4,"size",0.227221090297652,0.5,0
"171",4,3,30,1,4,"shape",0.551789811436796,0.3,0
"172",5,3,30,1,4,"size",0.00100000000196848,0.333666666666667,0
"173",5,3,30,1,4,"shape",0.608096418672769,0.333,0
"174",5,3,30,1,4,"color",0.390903581325263,0.333333333333333,0
"175",5,3,30,1,4,"lambda",9.99998837243522,5,0
"176",5,3,30,1,4,"b0",0.765725575875385,1,0
"177",5,3,30,1,4,"b1",0.234274424124615,1,0
"178",5,3,30,1,4,"tau",0.359784894709699,0.5,0
"179",5,3,30,1,4,"size",0.00100000000196848,0.5,0
"180",5,3,30,1,4,"shape",0.608096418672769,0.3,0
"181",1,3,30,1,5,"size",0.00100000001435285,0.333666666666667,0
"182",1,3,30,1,5,"shape",0.00113700005521123,0.333,0
"183",1,3,30,1,5,"color",0.997862999930741,0.333333333333333,0
"184",1,3,30,1,5,"lambda",0.0590969141402615,1,0
"185",1,3,30,1,5,"b0",0.508669178073667,1,0
"186",1,3,30,1,5,"b1",0.491330821926333,1,0
"187",1,3,30,1,5,"tau",0.131190100657467,0.5,0
"188",1,3,30,1,5,"size",0.00100000001435285,0.5,0
"189",1,3,30,1,5,"shape",0.00113700005521123,1,0
"190",2,3,30,1,5,"size",0.00100000000000003,0.333666666666667,0
"191",2,3,30,1,5,"shape",0.682514440302419,0.333,0
"192",2,3,30,1,5,"color",0.316485559697581,0.333333333333333,0
"193",2,3,30,1,5,"lambda",9.99245740082571,1,0
"194",2,3,30,1,5,"b0",0.980451359170334,1,0
"195",2,3,30,1,5,"b1",0.0195486408297322,1,0
"196",2,3,30,1,5,"tau",1.90313175857038,0.5,0
"197",2,3,30,1,5,"size",0.00100000000000003,0.5,0
"198",2,3,30,1,5,"shape",0.682514440302419,1,0
"199",3,3,30,1,5,"size",0.0070974983707992,0.333666666666667,0
"200",3,3,30,1,5,"shape",0.00100000000000062,0.333,0
"201",3,3,30,1,5,"color",0.9919025016292,0.333333333333333,0
"202",3,3,30,1,5,"lambda",0.0339638317939484,1,0
"203",3,3,30,1,5,"b0",0.497909445434899,1,0
"204",3,3,30,1,5,"b1",0.502090554565101,1,0
"205",3,3,30,1,5,"tau",0.0683072499973315,0.5,0
"206",3,3,30,1,5,"size",0.0070974983707992,0.5,0
"207",3,3,30,1,5,"shape",0.00100000000000062,1,0
"208",4,3,30,1,5,"size",0.00100000000001344,0.333666666666667,0
"209",4,3,30,1,5,"shape",0.964282837561228,0.333,0
"210",4,3,30,1,5,"color",0.0347171624387588,0.333333333333333,0
"211",4,3,30,1,5,"lambda",5.97769029491777,1,0
"212",4,3,30,1,5,"b0",0.501884156445588,1,0
"213",4,3,30,1,5,"b1",0.498115843554417,1,0
"214",4,3,30,1,5,"tau",0.488372216391803,0.5,0
"215",4,3,30,1,5,"size",0.00100000000001344,0.5,0
"216",4,3,30,1,5,"shape",0.964282837561228,1,0
"217",5,3,30,1,5,"size",0.983034190037534,0.333666666666667,0
"218",5,3,30,1,5,"shape",0.0010000011369038,0.333,0
"219",5,3,30,1,5,"color",0.0159658088255624,0.333333333333333,0
"220",5,3,30,1,5,"lambda",7.89075429694566,1,0
"221",5,3,30,1,5,"b0",0.525857252351386,1,0
"222",5,3,30,1,5,"b1",0.474142747648614,1,0
"223",5,3,30,1,5,"tau",0.616328274849698,0.5,0
"224",5,3,30,1,5,"size",0.983034190037534,0.5,0
"225",5,3,30,1,5,"shape",0.0010000011369038,1,0
"226",1,3,30,1,6,"size",0.001,0.333666666666667,0
"227",1,3,30,1,6,"shape",0.941102968399774,0.333,0
"228",1,3,30,1,6,"color",0.0578970316002261,0.333333333333333,0
"229",1,3,30,1,6,"lambda",5.71685182059426,5,0
"230",1,3,30,1,6,"b0",0.491952588228545,1,0
"231",1,3,30,1,6,"b1",0.508047411771455,1,0
"232",1,3,30,1,6,"tau",0.24461717273913,0.5,0
"233",1,3,30,1,6,"size",0.001,0.5,0
"234",1,3,30,1,6,"shape",0.941102968399774,1,0
"235",2,3,30,1,6,"size",0.001,0.333666666666667,0
"236",2,3,30,1,6,"shape",0.846274674148687,0.333,0
"237",2,3,30,1,6,"color",0.152725325851313,0.333333333333333,0
"238",2,3,30,1,6,"lambda",5.28133877348773,5,0
"239",2,3,30,1,6,"b0",0.569918916602419,1,0
"240",2,3,30,1,6,"b1",0.430081083397581,1,0
"241",2,3,30,1,6,"tau",0.495729427716349,0.5,0
"242",2,3,30,1,6,"size",0.001,0.5,0
